Player ID,Name,goals_scored,assists,minutes,goals_conceded,creativity,influence,threat,ict_index,clean_sheets,red_cards,yellow_cards,cost,Position,Team,Power ranking,Saves
198,Marc Cucurella Saseta,0,2,1669,20,232.5,354.4,72,65.9,6,0,4,49,DEF,Chelsea,89,
199,César Azpilicueta,0,0,1521,21,206.7,259.2,93,55.8,3,0,3,47,DEF,Chelsea,89,
200,Thiago Emiliano da Silva,0,2,2351,32,86.1,657.2,137,88,6,0,2,54,DEF,Chelsea,89,
201,Marcos Alonso,0,0,0,0,0,0,0,0,0,0,0,53,DEF,Chelsea,89,
202,Ross Barkley,0,0,0,0,0,0,0,0,0,0,0,49,MID,Chelsea,89,
203,Mateo Kovacic,1,2,1699,25,363.8,294.2,114,77.5,4,0,8,49,MID,Chelsea,89,
204,Kepa Arrizabalaga,0,0,2565,33,0.1,706.2,0,70.6,9,0,1,45,GK,Chelsea,89,90
205,N'Golo Kanté,0,1,517,7,186.9,107,58,35.2,2,0,1,48,MID,Chelsea,89,
206,Hakim Ziyech,0,3,649,7,230.9,155.4,113,49,2,0,1,55,MID,Chelsea,89,
207,Ruben Loftus-Cheek,0,1,1530,23,234.8,206.6,173,61.6,5,0,1,50,MID,Chelsea,89,
208,Timo Werner,0,0,0,0,0,0,0,0,0,0,0,79,FWD,Chelsea,89,
209,Robert Kenedy Nunes do Nascimento,0,0,0,0,0,0,0,0,0,0,0,39,DEF,Chelsea,89,
210,Ben Chilwell,2,3,1402,19,382.6,283.4,178,84.2,4,0,3,56,DEF,Chelsea,89,
211,Christian Pulisic,1,1,805,11,166.7,117.2,210,49.1,3,0,1,56,MID,Chelsea,89,
212,Trevoh Chalobah,0,0,1601,24,93.5,283.6,108,48.7,5,0,4,44,DEF,Chelsea,89,
213,Mason Mount,3,4,1644,21,463.1,331.4,376,117.2,8,0,4,72,MID,Chelsea,89,
214,Malang Sarr,0,0,0,0,0,0,0,0,0,0,0,50,DEF,Chelsea,89,
215,Callum Hudson-Odoi,0,0,0,0,0,0,0,0,0,0,0,53,MID,Chelsea,89,
216,Kai Havertz,7,1,2565,31,513.3,470.2,1012,199.3,9,0,5,74,FWD,Chelsea,89,
217,Reece James,1,2,1242,17,358.2,292.2,153,80.4,2,0,4,58,DEF,Chelsea,89,
218,Edouard Mendy,0,0,855,14,0,200.4,0,20.2,1,0,1,48,GK,Chelsea,89,25
219,Conor Gallagher,3,1,1608,23,343.5,379.8,321,104.3,4,1,9,56,MID,Chelsea,89,
220,Armando Broja,1,1,285,5,18.2,64.6,113,19.7,1,0,0,52,FWD,Chelsea,89,
221,Ethan Ampadu,0,0,0,0,0,0,0,0,0,0,0,44,DEF,Chelsea,89,
222,Wesley Fofana,1,0,1362,24,59,289.2,86,43.8,2,0,4,43,DEF,Chelsea,89,
223,Raheem Sterling,6,4,1886,27,479.8,388.2,603,146.8,5,0,4,97,MID,Chelsea,89,
