Player ID,Name,goals_scored,assists,minutes,goals_conceded,creativity,influence,threat,ict_index,clean_sheets,red_cards,yellow_cards,cost,Position,Team,Power ranking,Saves,games,ClubID,ClubPower,Predicted Performace index,Cost Efficiency
230,Lewis Hall,0,0,653,11,174.3,113.2,119,40.7,1,0,1,43,MID,Chelsea,89.0,,7,6,89.0,6,0.13953488372093023
233,Benoît Badiashile,1,0,904,9,49.1,219.8,81,35.1,4,0,2,50,DEF,Chelsea,89.0,,10,6,89.0,5,0.1
234,João Félix Sequeira,4,0,936,16,135.2,203.6,287,61.9,2,1,1,71,FWD,Chelsea,89.0,,10,6,89.0,4,0.056338028169014086
235,Mykhailo Mudryk,0,2,650,10,146.4,100.8,140,38.2,0,0,1,64,MID,Chelsea,89.0,,7,6,89.0,5,0.078125
237,Noni Madueke,1,0,639,13,131.9,130.8,182,44.6,0,0,0,54,MID,Chelsea,89.0,,7,6,89.0,6,0.1111111111111111
238,Enzo Fernández,0,2,1547,25,307.3,298.2,64,67.1,3,0,3,50,MID,Chelsea,89.0,,17,6,89.0,10,0.2
241,Albert Sambi Lokonga,0,0,728,8,57.2,98.4,20,17.6,2,0,2,43,MID,Crystal Palace,84.4,,8,9,84.4,2,0.046511627906976744
242,Vicente Guaita,0,0,2430,34,0.0,668.4,0,66.8,6,0,1,44,GK,Crystal Palace,84.4,84.0,27,9,84.4,9,0.20454545454545456
243,James Tomkins,1,0,335,10,1.1,90.0,54,14.6,0,1,1,39,DEF,Crystal Palace,84.4,,3,9,84.4,2,0.05128205128205128
246,Joel Ward,1,0,2253,35,164.3,436.2,114,71.6,8,0,6,44,DEF,Crystal Palace,84.4,,25,9,84.4,9,0.20454545454545456
247,Nathaniel Clyne,0,0,1638,23,124.9,203.6,8,33.6,3,0,3,45,DEF,Crystal Palace,84.4,,18,9,84.4,4,0.08888888888888889
248,Luka Milivojevic,0,0,500,7,43.6,69.2,17,12.7,2,0,2,42,MID,Crystal Palace,84.4,,5,9,84.4,1,0.023809523809523808
249,Jordan Ayew,4,3,2708,41,465.5,490.8,429,138.7,8,0,5,52,MID,Crystal Palace,84.4,,30,9,84.4,19,0.36538461538461536
250,Wilfried Zaha,7,2,2289,34,384.8,465.4,848,169.4,5,0,5,72,MID,Crystal Palace,84.4,,25,9,84.4,24,0.3333333333333333
251,Jeffrey Schlupp,3,2,2528,38,257.6,404.6,314,97.9,9,0,7,47,MID,Crystal Palace,84.4,,28,9,84.4,14,0.2978723404255319
252,Will Hughes,1,1,822,11,102.1,153.2,57,31.0,1,0,4,48,MID,Crystal Palace,84.4,,9,9,84.4,4,0.08333333333333333
254,Joachim Andersen,1,0,2782,37,146.3,641.8,273,106.4,8,0,8,45,DEF,Crystal Palace,84.4,,30,9,84.4,14,0.3111111111111111
255,Odsonne Edouard,5,2,1788,25,227.7,351.6,544,111.5,5,0,3,50,FWD,Crystal Palace,84.4,,19,9,84.4,7,0.14
256,Marc Guéhi,1,0,3330,46,142.7,688.2,205,103.9,9,0,8,45,DEF,Crystal Palace,84.4,,37,9,84.4,14,0.3111111111111111
